src\safeguard_monitoring.py:158: error: Unsupported target for indexed assignment ("Collection[str]")  [index]
src\structured_logging.py:107: error: Incompatible types in assignment (expression has type "Formatter", variable has type "JSONFormatter")  [assignment]
src\index_retry.py:98: error: Returning Any from function declared to return "float"  [no-any-return]
src\index_retry.py:180: error: Dict entry 2 has incompatible type "str": "str"; expected "str": "float"  [dict-item]
src\algorithms\qpg.py:31: error: Explicit "Any" is not allowed  [explicit-any]
src\algorithms\qpg.py:45: error: Explicit "Any" is not allowed  [explicit-any]
src\algorithms\qpg.py:67: error: Explicit "Any" is not allowed  [explicit-any]
src\algorithms\qpg.py:69: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:69: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:70: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:70: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:71: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:71: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:72: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:72: error: Expression type contains "Any" (has type "Any | None")  [misc]
src\algorithms\qpg.py:72: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:75: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:75: error: Expression type contains "Any" (has type "Any | bool")  [misc]
src\algorithms\qpg.py:75: error: Expression type contains "Any" (has type "Any | None")  [misc]
src\algorithms\qpg.py:75: error: Unsupported operand types for < ("int" and "None")  [operator]
src\algorithms\qpg.py:76: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:76: error: Expression type contains "Any" (has type "Any | int")  [misc]
src\algorithms\qpg.py:76: error: Expression type contains "Any" (has type "Any | None")  [misc]
src\algorithms\qpg.py:76: error: Unsupported operand types for < ("int" and "None")  [operator]
src\algorithms\qpg.py:76: error: Expression type contains "Any" (has type "Any | bool")  [misc]
src\algorithms\qpg.py:77: error: Expression type contains "Any" (has type "Any | int")  [misc]
src\algorithms\qpg.py:77: error: Expression type contains "Any" (has type "Any | bool")  [misc]
src\algorithms\qpg.py:78: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:79: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:81: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\algorithms\qpg.py:81: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:82: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\algorithms\qpg.py:82: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:83: error: Expression type contains "Any" (has type "tuple[str, Any | None]")  [misc]
src\algorithms\qpg.py:83: error: Expression type contains "Any" (has type "Any | None")  [misc]
src\algorithms\qpg.py:84: error: Expression type contains "Any" (has type "tuple[str, Any | int]")  [misc]
src\algorithms\qpg.py:84: error: Expression type contains "Any" (has type "Any | int")  [misc]
src\algorithms\qpg.py:85: error: Expression type contains "Any" (has type "Any | int")  [misc]
src\algorithms\qpg.py:85: error: Expression type contains "Any" (has type "Any | bool")  [misc]
src\algorithms\qpg.py:86: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:86: error: Expression type contains "Any" (has type "Any | int")  [misc]
src\algorithms\qpg.py:92: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:93: error: Expression type contains "Any" (has type "list[dict[str, Any]]")  [misc]
src\algorithms\qpg.py:94: error: Expression type contains "Any" (has type "dict[str, Any]")  [misc]
src\algorithms\qpg.py:96: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\algorithms\qpg.py:96: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:97: error: Expression type contains "Any" (has type "tuple[str, Any]")  [misc]
src\algorithms\qpg.py:97: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:98: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:99: error: Expression has type "Any"  [misc]
src\algorithms\qpg.py:105: error: Expression has type "Any"  [misc]
